eglexternalplatform 1.2.1-1
eigen 5.0.1-2.1
electron39 39.8.10-1.1
elfutils 0.195-1
elisa 26.04.2-1.1
ell 0.83-1.1
encfs 1.9.5-9.1
enchant 2.8.15-2.1
envycontrol 3.5.2-2
ethtool 1:7.0-1.1
eventviews 26.04.2-1.1
evtest 1.36-1.2
exfatprogs 1.4.2-1.1
exiv2 0.28.8-2.1
expac 10-12.2
expat 2.8.1-1.1
eza 0.23.4-3.1
f2fs-tools 1.16.0-3.1
faac 1.50-1.1
faad2 2.11.2-1.1
fakeroot 1:1.37.2-2.1
falkon 26.04.2-1.1
fastfetch 2.64.2-2.1
faugus-launcher 1.22.4-1
fcft 3.3.3-1.1
fd 10.4.2-2.1
ffmpeg 2:8.1.2-6.1
ffmpeg4.4 4.4.8-1.1
ffmpegthumbnailer 2.3.0-1.2
ffmpegthumbs 26.04.2-1.1
fftw 3.3.11-1.1
file 5.48-1.1
filelight 26.04.2-1.1
filesystem 2025.10.12-1
findutils 4.10.0-3.1
firefox 152.0.2-1.1
flac 1.5.0-1.1
fladder-bin 0.10.3-2
flatpak 1:1.18.0-1.1
flex 2.6.4-6.1
fluidsynth 2.5.5-1.1
fluxer-bin 0.0.8-1
fmt 12.2.0-1.1
fontconfig 2:2.18.1-1.1
foot 1.27.0-1.1
fortune-mod 3.26.1-1.1
frameworkintegration 6.27.0-1.1
frameworkintegration5 5.116.0-3.1
freedownloadmanager 6.34.1.6907-1
freeglut 3.8.0-1.1
freerdp 2:3.27.1-1.1
freetype2 2.14.3-1.1
frei0r-plugins 3.2.2-1.1
fribidi 1.0.16-2.1
fsarchiver 0.8.9-1.1
fsearch 0.2.3-3.6
ftgl 2.4.0-3.1
fuse-common 3.18.2-1.1
fuse-overlayfs 1.17-1.1
fuse2 2.9.9-5
fuse3 3.18.2-1.1
fwupd 2.1.5-2.1
fwupd-efi 1.8-2
fzf 0.72.0-1.1
gamemode 1.8.2-2.1
gamescope 3.16.23-2
gavl 2.0.1-2.1
gawk 5.4.0-1.1
gc 8.2.12-1.1
gcc 16.1.1+r12+g301eb08fa2c5-2
gcc-libs 16.1.1+r12+g301eb08fa2c5-2
gcr-4 4.4.0.1-1.1
gdb 17.2-1.1
gdb-common 17.2-1.1
gdbm 1.26-2.1
gdk-pixbuf2 2.44.6-2.1
gettext 1.0-2.1
gflags 2.2.2-6.1
ghostscript 10.07.1-1.1
ghostty 1.3.1-2.1
ghostty-shell-integration 1.3.1-2.1
ghostty-terminfo 1.3.1-2.1
giflib 6.1.3-1.1
git 2.54.0-1.1
git-lfs 3.7.1-1.2
github-cli 2.95.0-1.1
glances 4.5.5-1
glew 2.3.1-1.1
glfw 1:3.4-1.1
glib-networking 1:2.80.1-1.1
glib2 2.88.1-1.1
glibc 2.43+r22+g8362e8ce10b2-4
glibmm 2.66.8-2.1
glibmm-2.68 2.88.0-2.1
glm 1.0.3-1.1
glslang 1:1.4.350.1-1.1
glu 9.0.3-3.1
glycin 2.1.1-1.2
glycin-gtk4 2.1.1-1.2
gmp 6.3.0-3.1
gnome-calculator 50.0-1
gnome-desktop 1:44.5-1.1
gnome-desktop-common 1:44.5-1.1
gnome-disk-utility 46.1-2.4
gnulib-l10n 20241231-1
gnupg 2.4.9-1.1
gnutls 3.8.13-2.1
gobject-introspection-runtime 1.86.0-2.1
gocryptfs 2.6.1-1.1
google-glog 0.7.1-2.1
goverlay 1.8.4-1.1
gparted 1.8.1-2.1
gperftools 2.18.1-1.1
gpgme 2.1.0-1.1
gpgmepp 2.1.0-1.1
gpm 1.20.7.r38.ge82d1a6-6.1
gpu-screen-recorder 5.13.9-2.1
gpu-screen-recorder-notification 1.3.3-1.1
gpu-screen-recorder-ui 1.12.5-1.1
grantleetheme 26.04.2-1.1
graphene 1.10.8-2.1
graphite 1:1.3.15-1
grep 3.12-2.1
groff 1.24.1-1.1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsl 2.8-1
gsm 1.0.24-1.1
gssdp 1.6.5-1
gssproxy 0.9.2-3.1
gst-libav 1.28.4-1
gst-plugin-pipewire 1:1.6.7-1.1
gst-plugin-va 1.28.4-1
